Status of existing checking account,Duration in months,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker
0,3.2438149974736814,3,9,1.2634991731844265,0,4,0.0241469167730741,2,0,1.0469866784197936,3,2.4146466692238966,2,1,1.0270789116578083,2,-0.4282895663715403,1,0
2,0.0080479334668887,4,7,-0.3375215361050688,0,1,-0.8701833340815202,0,0,-1.6724592395536968,2,-0.2239269476157951,2,0,-0.7049259983890862,2,-0.4282895663715403,0,0
3,-1.2364778603818776,2,1,-0.7213837074932742,2,2,-0.8701833340815202,2,0,1.0469866784197936,1,1.2712647685933636,2,0,-0.7049259983890862,2,-0.4282895663715403,0,0
3,0.0080479334668887,0,0,0.6138044731340292,4,2,-1.7645135849361149,1,0,1.0469866784197936,1,-0.5757367631944207,0,1,1.0270789116578083,2,-0.4282895663715403,1,0
3,-0.738667542842371,2,4,-0.8454388875356305,4,2,0.9184771676276684,1,0,-0.7659772668958666,2,-1.279356394351672,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
0,0.2569530922366421,2,0,-0.6483683729540588,0,3,0.9184771676276684,1,0,1.0469866784197936,2,-1.103451486562359,2,0,1.0270789116578083,2,-0.4282895663715403,0,0
3,-1.2364778603818776,2,3,-0.1039433542538894,2,2,-1.7645135849361149,2,0,-0.7659772668958666,2,-0.3118794015104515,2,1,-0.7049259983890862,2,-0.4282895663715403,1,0
0,0.2569530922366421,2,3,-0.3233438012430852,1,0,-1.7645135849361149,0,0,-1.6724592395536968,1,-0.2239269476157951,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
0,0.2569530922366421,2,3,-0.0975633735659968,4,2,-0.8701833340815202,3,0,1.0469866784197936,2,-1.3673088482463285,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
3,-0.2408572253028645,4,3,0.1803202297288813,0,1,0.0241469167730741,0,0,-0.7659772668958666,2,-0.0480220398264823,2,1,1.0270789116578083,3,-0.4282895663715403,1,0
3,0.5058582510063954,2,6,0.6800853836138023,4,4,0.9184771676276684,2,0,1.0469866784197936,1,1.095359860804051,2,1,4.491088731751598,2,2.3348689263480744,1,0
1,1.2525737273156552,2,4,0.5400802518517146,0,1,0.9184771676276684,1,0,-1.6724592395536968,3,-0.4877843092997643,2,1,-0.7049259983890862,3,-0.4282895663715403,1,0
0,-0.738667542842371,1,0,-0.9124286847585028,0,1,0.9184771676276684,2,0,-0.7659772668958666,2,0.919454953014738,0,1,1.0270789116578083,2,-0.4282895663715403,1,0
3,-0.2408572253028645,0,9,0.3167809277754732,0,2,-0.8701833340815202,2,0,-0.7659772668958666,2,0.039930414068174,1,1,1.0270789116578083,2,2.3348689263480744,0,0
0,-0.5727307703292022,2,0,0.248727800437952,0,0,-1.7645135849361149,2,0,1.0469866784197936,3,-1.1914039404570154,2,2,-0.7049259983890862,2,-0.4282895663715403,0,0
3,-0.2408572253028645,4,7,-0.498793270160132,1,2,0.9184771676276684,1,0,-0.7659772668958666,0,-0.4877843092997643,2,1,1.0270789116578083,2,-0.4282895663715403,0,0
2,-1.2364778603818776,4,7,-0.7883735047161466,0,2,-0.8701833340815202,1,0,1.0469866784197936,1,1.2712647685933636,2,1,-0.7049259983890862,1,-0.4282895663715403,0,0
3,-0.2408572253028645,2,4,-1.0060017348475945,0,0,0.0241469167730741,1,1,1.0469866784197936,0,-1.1914039404570154,2,0,-0.7049259983890862,2,-0.4282895663715403,0,0
1,1.2525737273156552,2,7,0.1558636370919596,4,2,-0.8701833340815202,3,0,-0.7659772668958666,2,-0.7516416709837335,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
1,-0.9875727016121244,2,4,-0.7320170086397619,0,4,0.9184771676276684,1,0,1.0469866784197936,0,-0.9275465787730462,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
3,-1.2364778603818776,2,3,-0.6125695924275503,3,2,0.9184771676276684,0,0,-0.7659772668958666,0,-0.2239269476157951,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
3,-1.4024146328950464,4,0,0.0385428811090455,0,3,-1.7645135849361149,1,0,-1.6724592395536968,0,0.1278828679628304,2,1,-0.7049259983890862,2,2.3348689263480744,0,0
2,0.2569530922366421,2,4,-0.7135859533191833,2,2,0.0241469167730741,1,0,0.1405047057619635,2,1.8869319458559584,2,1,-0.7049259983890862,1,-0.4282895663715403,0,0
3,-0.738667542842371,2,4,-0.4247146055062679,1,2,0.9184771676276684,1,1,-0.7659772668958666,0,-0.6636892170890771,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
